Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: purelane.badge [single_line_text_field],Metafield: purelane.rating [number_decimal],Metafield: purelane.review_count [number_integer],Metafield: purelane.components [list.product_reference],Metafield: purelane.component_labels [list.single_line_text_field],Metafield: purelane.bundle_size [number_integer],Metafield: purelane.features [list.single_line_text_field]
purelane-machine-cleaner-powder,Machine Cleaner Powder,<p>Deep-cleans your washing machine drum and removes buildup.</p>,Purelane,Product,Product,"laundry,machine-care",TRUE,Size,Default,PUR-MCP-250,250,shopify,70,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Machine cleaner powder pack,FALSE,Machine Cleaner Powder,Deep-cleans washing machine drum.,active,,4.2,28,,,,
purelane-magic-eraser,Magic Eraser,<p>Scrubs away soap scum and stains without scratching surfaces.</p>,Purelane,Product,Product,"bathroom,scrub",TRUE,Size,Default,PUR-ERS-003,150,shopify,105,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Purelane magic eraser pack,FALSE,Magic Eraser,Magic eraser for scrubbing soap scum.,active,,4.4,45,,,,
purelane-complete-home-deep-cleaning-ritual-kit-with-reusable-bottles,Purelane Complete Home Deep-Cleaning Ritual Kit With Reusable Spray Bottles And Cotton Cloths,<p>A full home deep-cleaning ritual kit including reusable spray bottles and cotton cloths.</p>,Purelane,Product,Product,"cleaner,kit,long-title-test",TRUE,Size,Default,PUR-KIT-DEEP-001,1500,shopify,30,deny,manual,899.0,999.0,TRUE,TRUE,placeholder.jpg,1,Purelane deep-cleaning ritual kit,FALSE,Purelane Complete Home Deep-Cleaning Ritual Kit,Full home deep-cleaning ritual kit with reusable accessories.,active,,4.7,41,,,,
purelane-combo-kitchen-essentials,Kitchen essentials,"<p>Includes: Foaming Kitchen Cleaner, Dishwash Gel &amp; Tap Cleaner. Everything for a sparkling kitchen, no need to pick separately.</p>",Purelane,Combo,Combo,"combo,kitchen,most-popular",TRUE,Size,Default,PUR-CMB-KIT,1250,shopify,60,deny,manual,499.0,897.0,TRUE,TRUE,placeholder.jpg,1,Kitchen essentials combo pack,FALSE,Kitchen essentials combo,"Kitchen cleaner, dishwash gel and tap cleaner combo.",active,Most popular,4.7,64,purelane-kitchen-cleaner-foaming|purelane-dishwash-gel-organic|purelane-tap-cleaner-limescale-remover,Foaming Kitchen Cleaner|Dishwash Gel|Tap Cleaner,,
purelane-combo-laundry-care-bundle,Laundry care bundle,"<p>Includes: Laundry Detergent, Fabric Conditioner &amp; Machine Cleaner Powder. Softer, fresher wash, all in one box.</p>",Purelane,Combo,Combo,"combo,laundry",TRUE,Size,Default,PUR-CMB-LDY,1350,shopify,50,deny,manual,499.0,947.0,TRUE,TRUE,placeholder.jpg,1,Laundry care bundle pack,FALSE,Laundry care bundle,"Laundry detergent, fabric conditioner and machine cleaner powder combo.",active,,4.5,37,purelane-laundry-detergent-non-toxic|purelane-fabric-conditioner|purelane-machine-cleaner-powder,Laundry Detergent|Fabric Conditioner|Machine Cleaner Powder,,
purelane-combo-complete-home-bundle,Complete home bundle,"<p>Includes: Kitchen Cleaner, Laundry Detergent, Floor Cleaner, Toilet Cleaner &amp; Handwash. Our biggest saving box.</p>",Purelane,Combo,Combo,"combo,whole-home,best-value",TRUE,Size,Default,PUR-CMB-CPL,2200,shopify,35,deny,manual,799.0,1495.0,TRUE,TRUE,placeholder.jpg,1,Complete home bundle pack,FALSE,Complete home bundle,"Kitchen, laundry, floor, toilet and handwash combo.",active,Best value,4.6,52,purelane-kitchen-cleaner-foaming|purelane-laundry-detergent-non-toxic|purelane-floor-cleaner-herbal|purelane-toilet-cleaner-non-toxic|purelane-handwash-gentle-hydrating,Kitchen Cleaner|Laundry Detergent|Floor Cleaner|Toilet Cleaner|Handwash,,
purelane-combo-bathroom-deep-clean,Bathroom deep clean,"<p>Includes: Toilet Cleaner, Tap Cleaner &amp; Magic Eraser. A complete bathroom refresh in one box.</p>",Purelane,Combo,Combo,"combo,bathroom",TRUE,Size,Default,PUR-CMB-BTH,1200,shopify,55,deny,manual,499.0,897.0,TRUE,TRUE,placeholder.jpg,1,Bathroom deep clean combo pack,FALSE,Bathroom deep clean,"Toilet cleaner, tap cleaner and magic eraser combo.",active,,4.4,33,purelane-toilet-cleaner-non-toxic|purelane-tap-cleaner-limescale-remover|purelane-magic-eraser,Toilet Cleaner|Tap Cleaner|Magic Eraser,,
purelane-combo-hard-water-solution-kit,Hard water solution kit,"<p>Includes: Tap Cleaner &amp; Toilet Cleaner. A quick, focused fix for hard water stains across the home.</p>",Purelane,Combo,Combo,"combo,hard-water",TRUE,Size,Default,PUR-CMB-HWS,900,shopify,65,deny,manual,349.0,598.0,TRUE,TRUE,placeholder.jpg,1,Hard water solution kit pack,FALSE,Hard water solution kit,Tap cleaner and toilet cleaner combo for hard water.,active,,4.3,21,purelane-tap-cleaner-limescale-remover|purelane-toilet-cleaner-non-toxic,Tap Cleaner|Toilet Cleaner,,
purelane-bundle-starter,Starter bundle,<p>Pick any two products. Free shipping across India.</p>,Purelane,Bundle,Bundle,"bundle,tier,starter",TRUE,Size,Default,PUR-BND-STR,900,shopify,45,deny,manual,349.0,598.0,TRUE,TRUE,placeholder.jpg,1,Starter bundle box,FALSE,Starter bundle,"Two-product starter bundle, flat price.",active,,,,,,2,Pick any two products|Free shipping across India
purelane-bundle-most-popular,Most popular bundle,<p>Pick any three products. Covers kitchen and laundry. Free shipping across India.</p>,Purelane,Bundle,Bundle,"bundle,tier,most-popular",TRUE,Size,Default,PUR-BND-POP,1350,shopify,40,deny,manual,499.0,897.0,TRUE,TRUE,placeholder.jpg,1,Most popular bundle box,FALSE,Most popular bundle,Three-product bundle covering kitchen and laundry.,active,Most popular,,,,,3,Pick any three products|Covers kitchen and laundry|Free shipping across India
purelane-bundle-whole-home,Whole home bundle,<p>Pick any five products. Every room in one order. Free shipping across India.</p>,Purelane,Bundle,Bundle,"bundle,tier,whole-home",TRUE,Size,Default,PUR-BND-WHL,2200,shopify,20,deny,manual,799.0,1495.0,TRUE,TRUE,placeholder.jpg,1,Whole home bundle box,FALSE,Whole home bundle,Five-product bundle covering every room.,active,,,,,,5,Pick any five products|Every room in one order|Free shipping across India
